source_id,college,category,source_type,year,url,use_status,notes,access_date,v6_gate_note
SRC-IIITNAGPUR-JOSAA-ORCR,IIIT Nagpur,Admission cutoff,Official JoSAA OR-CR,2025,https://josaa.nic.in/or-cr/,source_indexed_needs_csv_import,Use JoSAA OR-CR CSV/table import; do not mix with CAP.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-COEP-PLACEDATA,COEP Placement Data 2024-25,Placement/fees/source,Official institute PDF,2024-25,https://www.coeptech.ac.in/wp-content/uploads/2025/08/Placement-Data-for-2024-2025.pdf,Used,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-COEP-PLACESTATS,COEP Placement Statistics 2024-25,Placement/fees/source,Official institute PDF,2024-25,https://www.coeptech.ac.in/wp-content/uploads/2025/08/Placement-Statistics-2024-25.pdf,Used,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-SPIT-PLACEMENT,SPIT Placement Summary 2024-25,Placement/fees/source,Official institute PDF,2024-25,https://placements.spit.ac.in/assets/2025_summary-DqkohFsi.pdf,Used,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-DJSCE-PLACEMENT,DJSCE Placement Report 2024-25,Placement/fees/source,Official institute PDF,2024-25,https://www.djsce.ac.in/docs/placements/placement%2024-25%20report%20-%2004-08-25.pdf,Used,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-DJSCE-FEE,DJSCE ILS FE Admissions Fees Notice 2025-26,Placement/fees/source,Official institute PDF,2025-26,https://www.djsce.ac.in/docs/ILS%20FE%20Admissions%202025-26%20Fees%20Notice.pdf,Used,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-WCE-STUDENT-PLACEMENT,WCE Student Placement Details 2025-26,Placement/fees/source,Official signed PDF,2025-26,https://walchandsangli.ac.in/wp-content/uploads/Student-Placement.pdf,Used with denominator gap,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-WCE-PLACEMENT-PAGE,WCE Placement in WCE page,Placement/fees/source,Official webpage,Mixed,https://walchandsangli.ac.in/student-careers/career-development-cell/placement-in-wce/,Summary only,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-PCCOE-COMP-PLACEMENT,PCCOE Computer Dept Placements,Placement/fees/source,Official webpage,2024-25/2025,https://computer.pccoepune.com/placements,Used with denominator gap,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-VIT-COMP-PLACEMENT,VIT Pune Computer Dept Placements,Placement/fees/source,Official webpage,2025-26 ongoing,https://www.vit.edu/computer/placements/,Used with denominator gap,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-VIT-AIDS-PLACEMENT,VIT Pune AI&DS Dept Placements,Placement/fees/source,Official webpage,2024-25,https://www.vit.edu/AIDSC/placements/,Used with denominator gap,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-IIITN-NIRF,IIIT Nagpur NIRF 2025 PDF,Placement/fees/source,Official NIRF PDF via institute,2024-25,https://iiitn.ac.in/media/916fc986a2a34669ab3760b1e1c6a36a.pdf,"Institute-level, not branch-wise",Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-IIITP-OFFICIAL,IIIT Pune Placement Statistics page,Placement/fees/source,Official webpage,2024-25,https://placements.iiitp.ac.in/Placement.html,Dynamic/unextractable in this pass,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-PICT-CAP,PICT CAP Round I cutoff,Placement/fees/source,Official CET Cell PDF,2025-26,https://fe2025.mahacet.org/CAP-I/CAPR-I_06271.pdf,Admission source only,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
SRC-PICT-SECONDARY,PICT placement secondary report,Placement/fees/source,Secondary,2024-25,https://www.kollegeapply.com/college/pune-institute-of-computer-technology-society-for-computer-technology-and-research-pune-placement,Not for production scoring,Imported from Maharashtra v3 source registry.,2026-05-02,Official source indexed/used; values still require row-level source mapping before public release unless already marked used_verified.
